ipv4_address_id,device_id,ipv4_address,ipv4_prefixlen,ipv4_type,ipv4_network_id,vrf_id,port_id,ifIndex,ipv4_network
76173,6311,10.2.1.253,28,private,6475,,197364,5,10.2.1.240/28
131176,2384,10.2.1.254,28,private,6475,,170276,25,10.2.1.240/28
130220,5226,10.2.2.1,30,private,25145,,271897,13,10.2.2.0/30
130221,5226,10.2.2.5,30,private,23796,,271897,13,10.2.2.4/30
122127,8874,10.2.2.6,30,private,23796,,302686,3,10.2.2.4/30
130222,5226,10.2.2.9,30,private,25146,,271897,13,10.2.2.8/30
130223,5226,10.2.2.237,30,private,24230,,271897,13,10.2.2.236/30
130775,5240,10.2.2.238,30,private,24230,,155544,5,10.2.2.236/30
130224,5226,10.2.2.254,28,private,25147,,271897,13,10.2.2.240/28
87796,7083,10.2.3.241,28,private,10022,,239032,13,10.2.3.240/28
96795,6302,10.2.3.253,28,private,10022,,197308,5,10.2.3.240/28
124750,4075,10.2.4.1,30,private,24234,,122972,17,10.2.4.0/30
131227,8955,10.2.4.242,28,private,24235,,322818,13,10.2.4.240/28
124751,4075,10.2.4.254,28,private,24235,,122972,17,10.2.4.240/28
133553,3932,10.2.5.1,30,private,25122,,390343,21,10.2.5.0/30
133554,3932,10.2.5.5,30,private,23011,,390343,21,10.2.5.4/30
135276,7902,10.5.10.1,32,private,25960,,404902,15733120,10.5.10.1/32
113427,7903,10.5.10.2,32,private,22518,,265789,7,10.5.10.2/32
113436,7904,10.5.10.4,32,private,22522,,265797,8,10.5.10.4/32
22425,1830,10.5.10.5,32,private,6982,,44109,6,10.5.10.5/32
102725,2357,10.5.10.8,32,private,20858,,52807,7,10.5.10.8/32
107706,8275,10.5.10.12,32,private,20648,,275357,9,10.5.10.12/32
135147,72,10.5.50.1,32,private,25909,,299147,29,10.5.50.1/32
38100,1800,10.5.50.3,32,private,4575,,43270,12,10.5.50.3/32
115129,1802,10.5.50.16,32,private,22749,,43314,13,10.5.50.16/32
30549,1996,10.5.50.17,32,private,8812,,90149,14,10.5.50.17/32
115173,6062,10.5.50.19,32,private,22763,,192765,12,10.5.50.19/32
131209,2031,10.5.50.21,32,private,25322,,47969,12,10.5.50.21/32
115132,2792,10.5.50.23,32,private,22751,,65688,14,10.5.50.23/32
115147,3998,10.5.50.24,32,private,22754,,114382,14,10.5.50.24/32
131187,5337,10.5.50.27,32,private,25314,,164355,9,10.5.50.27/32
115165,4733,10.5.50.30,32,private,22759,,175591,11,10.5.50.30/32
131149,4954,10.5.50.31,32,private,25303,,139620,9,10.5.50.31/32
117724,2639,10.5.50.34,32,private,23170,,58434,8,10.5.50.34/32
131358,7668,10.5.50.36,32,private,25343,,262598,10,10.5.50.36/32
131321,8359,10.5.50.37,32,private,25336,,282609,12,10.5.50.37/32
128143,1802,10.5.51.15,32,private,24883,,43313,12,10.5.51.15/32
30550,1996,10.5.51.16,32,private,8813,,90147,13,10.5.51.16/32
